Country Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Bangladesh,29472270.833333015,-44208312.5,-3117229.1666669846,-88983520.83333302,-220475083.33333302,-218774791.66666698,-152462270.83333397,-238611875.0,-245129812.5,-298123208.333333,-377188145.83333707,-388240270.833333,-506696083.333333,-429877226.57756096,-831762076.3243809,-1012377602.523655,-1304107178.451179,-515438377.50484407,-1317974808.2010598,-1508080952.693819,-2247061873.385012,-1819522643.8188398,-1937075848.3033962,-1604040404.0404081,-1895720000.0,-1660461538.4615397,-1448600000.0000002,-1629838709.6774201,-1813076864.9654899,-2085202622.1310098,-2259239984.24073,-1722661064.42577,-1509549071.61803,-1687195767.1957603,-1642094763.09226,-2458582089.5522404,-3094229828.8508596,-2549601873.53629,-2182026431.7180595,-2497212978.36938,-2472788709.998019,-2874981467.7538605,-2269650008.70625,-2884974093.26425,-2972345846.7810287,-3898472861.9733505,-3880557603.0664997,-4738256591.773201,-6692430505.5739,-6366300367.152199,-6633666169.823097,-9744203015.370098,-10381901108.8438,-10830906474.511204,-11297725501.215996,-14465532639.746403,-9260953611.3264,-12807430499.248795,-23025820646.664307,-18926257570.986702,-20142051278.3432,-26634920363.1481,-36881921787.061005,-20421363480.150803
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,401606425.7028103,0.0,368256306.38925934,-2561052179.3726997,-1916674988.4822998,-613102508.1612701,-601384615.3846197,-819067796.6101704,-739063516.1500111,-294769354.19174004,-405987840.24988174,-438561151.0791302,-546874790.6104202,-682552759.9974995,-1472693101.7562008,214874037.7562027,-1542227776.3271027,-2837778647.5807,-4692473319.603104,-5536384955.514599,-7538702237.024498,-644510244.9831009,2935203732.8022995,-2378218591.111496,-606410344.1867981,60278827.25030136,-90974751.74189758,115921508.71839905,909890420.5323029,-425952405.1968994,1896641833.1061935,3936305356.1404953,4484178058.7183,459341280.5294037
Belgium,,,,,,,,,,,583597418.3137989,581774525.1212997,1138651819.2649002,916582488.0976982,288928127.5891037,202501919.4911003,208368861.02399826,-549247045.5823975,-799154604.8418045,-2010039900.9355927,-3577711408.4701004,-2193369187.3098984,-1582876567.190506,344979881.6567993,495069812.9013977,890002717.5758972,2687310818.132492,2713639113.992508,3884174437.73999,3607222563.472992,3612875422.500992,3934812758.4170074,5983582183.186996,7197266791.044998,8858973957.078003,11089490968.800995,8856286644.95102,9815741993.684998,9409313180.707,10216533029.342987,6783287643.764984,8634316460.43399,14411205478.07898,17041157539.921997,18069920172.817993,15569789758.753998,16503842056.235962,19473396554.823975,3480542816.796997,9960978144.062012,7194531778.333984,-1174531842.4120483,-1422261059.7650146,1306071279.7650146,1191266653.295044,3166438838.5549927,846891571.6350098,-76479415.64697266,-7117140448.784973,2519265436.862976,7646774510.195007,11185293386.434021,-8668275169.649902,-3866292231.177002
Belize,,,,,,,,,,,,,,,,,,,,,-24626082.0,-38664484.0,-36654968.0,-27981631.0,-17199270.5,-25396383.0,-8304599.5,-9305608.5,-21295466.0,-39271147.0,12500000.0,-43500000.0,12000000.0,9000000.0,16500000.0,25000000.0,33500000.0,19000000.0,9500000.0,-52000000.0,-123500000.0,-110000000.0,-72500000.0,-68500000.0,-25500000.0,-23000000.0,75000000.0,89000000.0,38500000.0,22000000.0,112000000.0,119500000.0,143500000.0,68500000.0,82500000.0,-20500000.0,-42000000.0,43000000.0,56500000.0,38000000.0,-130500000.0,-93000000.0,-56500000.0,124281450.0
Benin,-13540909.2043809,-11668269.631560398,-15229913.267229952,-19817885.13371503,-19172871.4476023,-22143652.647630896,-28322049.688064404,-37072589.942726105,-31790214.8034081,-31934690.604275994,-30976478.389244907,-33664168.986602,-50945765.957634605,-51891175.4456919,-84184917.0120788,-127825139.7839331,-125973749.6085693,-139523361.978233,-167380158.88441804,-231379214.519422,-302207754.555333,-361879958.73999906,-282908153.607169,-195119123.13276902,-119330543.866792,-135900638.219314,-212968995.18063098,-245034343.60841596,-296170446.129141,-169902128.157487,-144205941.166362,-185528219.01997507,-173980880.5985,-237760308.363344,-123794026.41075706,-196617143.895391,-83115273.63871503,-98883444.23870206,-132765181.357409,-307898180.98200107,-216041108.054183,-312362645.7135761,-180994316.69045997,-231496422.09310293,-178024698.58650994,-139802467.77043986,-257367391.00422,-410746118.18300986,-341975490.5358801,-472001561.88449,-504111169.72014,-590028152.7098999,-327919475.85424995,-508106993.97312975,-319704476.5692301,-833090755.2754502,-446050447.85459995,-897423731.4382901,-1033558668.9229302,-636152533.2606101,-796396404.3731699,-1099836449.0180697,-1327248761.6474905,-1763673880.71596
Bolivia,-28833333.3333333,-28166666.6666667,-46416666.666667,-44750000.0000003,-17083333.333334,-31250000.000000015,-34583333.33333403,-26333333.33333403,-36166666.666667014,-26083333.333332986,2416666.6666670144,-32666666.666667014,-37384615.384615004,-7650000.0,178500000.0,-151050000.0,-60400000.0,-92700000.0,-282500000.0,-145300000.0,99760000.0,18080000.0,-19015625.0,231599137.93104005,-133565688.77551007,-203956030.17074,-173552959.013677,-189645068.98314,-200978072.04534602,-31043051.50345993,-55943531.11753011,-293146080.21878004,-509039391.4447799,-533647926.66402984,-331014451.41312003,-311257406.24314,-347105552.1092,-653750995.85898,-1094799635.5078902,-862181732.5968902,-759861904.3907199,-430158998.51625013,-480760237.09903,-61940887.30537009,422223676.9153199,329859601.87264013,1031305066.1308398,987865682.44909,1158210419.2394905,488671452.99145985,1348616743.53364,1366621267.35013,2541509594.7901993,2132066222.8653984,436112739.6047001,-2044775813.1498013,-2520136579.204049,-2586732503.6641293,-2067712969.7689,-2642975629.4629,-1816138075.3617992,-1361970723.7835999,-1114636977.2561016,-2434494740.4946003
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-891000000.0,-953000000.0,-1678999933.54599,-1651026264.43437,-2925388652.85952,-3117890450.7311497,-2315642576.52412,-2430358884.7304697,-2723278028.26526,-3348010827.8916903,-3731533555.06785,-4009076556.4416304,-3513807380.28776,-4630860956.904921,-6205302367.592469,-4179567594.3663206,-3706156263.120119,-4430690997.535821,-4038640463.5365705,-3716745584.5045395,-4189456025.733859,-2962992630.53078,-2811731826.5136395,-2931680355.524211,-2962601351.2494583,-2956866462.2119093,-2780732336.61625,-2684311740.5234013,-3334693324.3552,-3243204328.093601
Botswana,-4065490.851944659,-5037120.78176111,-6028614.890678769,-6990201.136047501,-8225759.453698,-8655180.404671602,-11157865.667665701,-15340631.755107801,-26429641.3658057,-23048309.5353155,-34896023.807463296,-36213372.5598082,-38106797.372766,-56474873.0035705,-72997319.997587,-71736884.523224,-59282514.82062802,-83139341.53641501,-97203791.06860197,-91226210.32702798,-141979478.27205706,-234362488.61650902,-149320990.11228,-5652158.851189017,35351936.61605799,167878450.53551304,267408990.47651494,524467506.6008841,703247533.0692301,403620850.01335,199519905.22805,256312337.4705801,273993055.96701,332119311.20581007,317919128.9723599,334823481.7962699,809639139.9186003,660519458.53511,-156298806.40245008,628795766.7975998,679485671.7237101,537440936.7938099,678720160.20754,887844461.5042796,737177438.2577901,1720112572.5565305,1681219954.3762703,1528386720.5317001,-548818885.64256,-1701263594.7686296,-1308000647.66601,-1584905837.5168,-2175855219.3730106,-431508369.8976097,474683266.6320095,-909144049.0820799,1320940344.13591,630699419.9615192,170521065.0026102,-1491507109.5616894,-2256407668.41343,-925067478.3612003,299841787.50288963,-835391274.3973207
Brazil,-8829343.27884996,-9149902.739139795,-263069676.36954904,-17161538.997639894,150139738.73665,474987147.83251,225450250.41094995,0.0,-206594912.0959201,24981601.388170242,-177912553.3138399,-848612874.35743,-927784676.0171499,-975055646.8781195,-6172123572.1492605,-4907560235.76334,-3659545985.352501,-1172207021.1819,-2387152105.9251003,-4615615400.088499,-5295341312.052101,-999146350.1827011,-1872613597.5243988,4906714630.169098,11753827695.967798,11487450960.267498,6601570907.538998,9608553171.417599,17141241474.9105,14323932823.013,5760628518.866402,2614204545.454502,8149820788.530502,5182689343.470001,1846111836.6021042,-14822816228.544807,-18498238583.225502,-23042055321.375298,-20535451010.196404,-11107588703.6622,-14837154501.719894,-12279677753.793,4296672536.941399,12399391351.6763,22844658798.496796,30323248288.072006,29982705220.871002,19039021641.88199,-3214805206.9859924,-6721885359.213013,-22994190061.88498,-20128178014.60901,-33507264617.89203,-56911843574.17499,-65368099306.74301,-20783887933.045013,7176956033.446991,14820192743.66101,7548801625.69397,-12071834245.960999,8930824788.043976,9397892444.406006,8695119065.369995,51442237675.14606
Brunei Darussalam,,,,,,,,,,,,,,,780510384.8507121,778475941.4667029,1072913605.9691441,1360990407.4772472,1563747100.4056659,2268966842.917039,4026698947.5100026,3468087160.835557,3075197719.652808,2663921819.171336,,,,,,794253888.4598901,863984269.52778,981158287.7485502,416828579.09338,123159492.78093982,109332977.18279004,184143222.5063901,-36169161.03857994,-68022354.43552971,-280831404.36018014,341011600.8842697,1766630171.8601701,1509368874.77131,1272681534.83954,1989485375.76062,2641795834.02034,3746735418.43009,4899812729.062229,4421396114.53388,6711545119.779051,3469052322.2207804,5406768204.61031,7312615817.62807,6605725823.425249,4550431445.43347,5801830250.03156,1878750733.6838493,1349307335.8975,1694275076.2032108,1352406146.47715,994355868.8510895,530802710.5974903,1850917776.1389503,4304628390.0543995,2497175416.9570293
Bulgaria,,,,,,,,,,,,,,,,,,,,,995769230.7692299,221714285.71427917,206266666.66666985,34555555.55554962,331666666.66666985,-69842105.26314926,-695823529.4117594,-516230769.2307987,-74529411.76469994,-382111111.11109924,-744545454.5454502,467741935.48387,-603092783.5051603,-826266579.6912303,-60608856.088560104,1788301499.1588602,1373755544.1876698,1435862508.5395603,1027746628.81073,-623502748.0002203,-703095924.92729,-1321717593.3808994,-1308143333.4537,-2152555373.05319,-2916749888.4203987,-4377275617.7528,-5876220044.418301,-8363361091.672501,-10750907362.631702,-4294536401.7141,-1616447502.2029,91404170.521698,-1779984891.283001,-312060161.6080017,-655459855.9977951,424885976.85499954,2653069783.2362022,2577965690.521599,1766412052.4123,2288601110.411606,1784936634.9354935,2096908145.370903,1009792721.0078049,4201285841.9175034
Burkina Faso,-36274159.0828114,-36289432.4328381,-38617084.5500485,-39756800.5573636,-35778419.5895587,-28437026.604983002,-28622655.6382723,-40562447.7740813,-41820409.5774658,-51250565.0183708,-48987509.5013846,-69561866.4936555,-86148663.7732777,-112064647.83892179,-121324217.52618441,-214340678.51258552,-183620077.8057396,-254333289.6707899,-299283925.53156,-367815791.23184997,-430335723.681356,-393503629.11429393,-411038168.528095,-347100404.66582,-259813092.08359802,-327647752.258626,-406865692.93950003,-396291211.316911,-422027024.778013,-389645013.906049,-418342761.606028,-404456605.49206907,-358530194.14076996,-375049580.968818,-205183784.324476,-296639237.52411103,-441086732.595523,-386520160.766633,-429811388.90547496,-628656320.746716,-517491007.00399405,-432933524.136593,-491980036.15404594,-565449103.752357,-747850040.1427561,-890512831.37258,-863789007.095507,-997645321.3436149,-1425906209.277677,-1201943592.9896097,-812969199.1052301,-616850362.76371,-1010211748.8550301,-1328549694.1378503,-691511437.4099498,-813329644.23176,-777861343.75388,-897767915.38202,-705171478.4721899,-303549508.2936697,498773419.79501057,625157481.3241901,-254861170.96879005,-1442586517.8736706
